
="",="(1)",="(2)",="(3)",="(4)"
="",="Minimal",="No Survival",="Total Effect",="+ Personality"

="claim_age_c62",="0.0116",="-0.0154",="-0.00848",="-0.00825"
="",="(0.0107)",="(0.00961)",="(0.00964)",="(0.00931)"

="female",="0.0142",="0.0745*",="0.0714*",="0.0321"
="",="(0.0353)",="(0.0321)",="(0.0325)",="(0.0319)"

="1.raeduc",="0",="0",="0",="0"
="",="(.)",="(.)",="(.)",="(.)"

="2.raeduc",="-0.191*",="-0.260**",="-0.225**",="-0.268***"
="",="(0.0934)",="(0.0813)",="(0.0816)",="(0.0800)"

="3.raeduc",="0.206***",="-0.0616",="0.00353",="-0.0729"
="",="(0.0552)",="(0.0516)",="(0.0513)",="(0.0509)"

="4.raeduc",="0.143*",="-0.156**",="-0.0716",="-0.192***"
="",="(0.0580)",="(0.0547)",="(0.0541)",="(0.0542)"

="5.raeduc",="0.496***",="0.0330",="0.164**",="-0.00402"
="",="(0.0583)",="(0.0568)",="(0.0546)",="(0.0555)"

="black",="-0.448***",="-0.0721",="-0.149**",="-0.137**"
="",="(0.0523)",="(0.0510)",="(0.0500)",="(0.0500)"

="other_race",="-0.0379",="0.0956",="0.0680",="0.0431"
="",="(0.0874)",="(0.0758)",="(0.0766)",="(0.0756)"

="hispanic",="0.155*",="0.323***",="0.263***",="0.275***"
="",="(0.0667)",="(0.0631)",="(0.0625)",="(0.0614)"

="8.wave",="0",="0",="0",="0"
="",="(.)",="(.)",="(.)",="(.)"

="9.wave",="0.658***",="0.707***",="0.710***",="0.689***"
="",="(0.0446)",="(0.0416)",="(0.0417)",="(0.0414)"

="10.wave",="0.595***",="0.632***",="0.622***",="0.613***"
="",="(0.0364)",="(0.0359)",="(0.0360)",="(0.0356)"

="11.wave",="0.487***",="0.552***",="0.534***",="0.521***"
="",="(0.0466)",="(0.0447)",="(0.0450)",="(0.0446)"

="12.wave",="0.638***",="0.695***",="0.695***",="0.676***"
="",="(0.0396)",="(0.0400)",="(0.0401)",="(0.0397)"

="13.wave",="0.706***",="0.796***",="0.792***",="0.785***"
="",="(0.0488)",="(0.0487)",="(0.0490)",="(0.0486)"

="14.wave",="0.721***",="0.782***",="0.787***",="0.779***"
="",="(0.0435)",="(0.0448)",="(0.0449)",="(0.0444)"

="15.wave",="0.660***",="0.721***",="0.727***",="0.707***"
="",="(0.0504)",="(0.0522)",="(0.0523)",="(0.0513)"

="16.wave",="0.729***",="0.783***",="0.795***",="0.780***"
="",="(0.0503)",="(0.0524)",="(0.0526)",="(0.0514)"

="shlt",="",="-0.360***",="-0.371***",="-0.312***"
="",="",="(0.0230)",="(0.0231)",="(0.0228)"

="poor_health",="",="-0.153**",="-0.169**",="-0.180***"
="",="",="(0.0519)",="(0.0525)",="(0.0514)"

="conde",="",="-0.0588***",="-0.0651***",="-0.0544***"
="",="",="(0.0115)",="(0.0116)",="(0.0114)"

="ln_hh_income",="",="0.0717***",="",=""
="",="",="(0.0176)",="",=""

="ihs_hh_assets",="",="0.0260***",="",=""
="",="",="(0.00387)",="",=""

="married",="",="0.469***",="0.585***",="0.543***"
="",="",="(0.0962)",="(0.100)",="(0.0951)"

="widowed",="",="0.163",="0.202",="0.160"
="",="",="(0.101)",="(0.104)",="(0.0995)"

="divorced",="",="-0.0454",="-0.0477",="-0.112"
="",="",="(0.106)",="(0.109)",="(0.105)"

="age",="",="0.0998*",="0.104*",="0.0770"
="",="",="(0.0460)",="(0.0461)",="(0.0460)"

="age_sq",="",="-0.000561",="-0.000585",="-0.000381"
="",="",="(0.000311)",="(0.000312)",="(0.000311)"

="conscientious_z",="",="",="",="0.174***"
="",="",="",="",="(0.0174)"

="openness_z",="",="",="",="0.124***"
="",="",="",="",="(0.0177)"

="_cons",="4.299***",="-0.0382",="0.787",="1.632"
="",="(0.0559)",="(1.709)",="(1.694)",="(1.689)"

="N",="19032",="19032",="19032",="18698"
="r2_a",="0.0457",="0.187",="0.179",="0.207"

="Standard errors in parentheses"
="Total Effect: excludes income/assets (preferred specification)"
="* p<0.05, ** p<0.01, *** p<0.001"
